rank,model,provider,tier,status,context,input_cost,output_cost,org_level,specialization,role,strength,humaneval_score,swe_bench_score,openrouter_url,last_updated
1,openai/gpt-5.1,openai,premium,paid,400K,1.25,10.0,executive,general,lead_architect,next_generation,90.0,80.0,https://openrouter.ai/openai/gpt-5.1,2025-11-15
2,anthropic/claude-opus-4.5,anthropic,premium,paid,200K,5.0,25.0,executive,agentic,system_architect,agentic_workflows,89.0,82.0,https://openrouter.ai/anthropic/claude-opus-4.5,2025-11-24
3,openai/gpt-5.1-chat,openai,premium,paid,128K,1.25,10.0,executive,conversation,lead_architect,conversational,89.0,79.0,https://openrouter.ai/openai/gpt-5.1-chat,2025-11-15
3.5,openai/gpt-5.1-codex,openai,premium,paid,400K,1.25,10.0,executive,coding,lead_architect,coding,92.0,85.0,https://openrouter.ai/openai/gpt-5.1-codex,2025-11-15
3.6,google/gemini-3-pro-preview,google,premium,paid,1048K,2.0,12.0,executive,reasoning,lead_architect,multimodal,88.0,82.0,https://openrouter.ai/google/gemini-3-pro-preview,2025-11-21
4,anthropic/claude-sonnet-4.5,anthropic,high_perf,paid,1000K,3.0,15.0,senior,reasoning,senior_developer,agentic,87.0,80.0,https://openrouter.ai/anthropic/claude-sonnet-4.5,2025-11-21
5,openai/gpt-5-mini,openai,high_perf,paid,400K,0.5,2.0,senior,general,senior_developer,efficient,85.0,75.0,https://openrouter.ai/openai/gpt-5-mini,2025-08-11
6.5,openai/gpt-5.1-codex-mini,openai,high_perf,paid,400K,0.25,2.0,senior,coding,senior_developer,coding,88.0,78.0,https://openrouter.ai/openai/gpt-5.1-codex-mini,2025-11-15
7,deepseek/deepseek-r1-0528,deepseek,high_perf,paid,65K,0.40,2.0,senior,reasoning,security_analyst,reasoning,82.0,72.0,https://openrouter.ai/deepseek/deepseek-r1-0528,2025-08-11
8,google/gemini-2.5-flash,google,open_source,paid,1048K,0.075,0.30,senior,general,senior_developer,speed,78.0,65.0,https://openrouter.ai/google/gemini-2.5-flash,2025-08-11
9,openai/o4-mini,openai,open_source,paid,200K,0.15,0.6,senior,general,senior_developer,compact,80.0,70.0,https://openrouter.ai/openai/o4-mini,2025-08-11
10,qwen/qwen3-coder,qwen,open_source,paid,131K,0.20,0.80,senior,coding,senior_developer,coding,85.0,70.0,https://openrouter.ai/qwen/qwen3-coder,2025-08-11
11,mistralai/mistral-large-2411,mistral,open_source,paid,128K,2.0,6.0,senior,general,senior_developer,european,75.0,65.0,https://openrouter.ai/mistralai/mistral-large-2411,2025-08-11
12,openai/gpt-5-nano,openai,value_tier,paid,400K,0.1,0.4,senior,general,senior_developer,ultralight,78.0,68.0,https://openrouter.ai/openai/gpt-5-nano,2025-08-11
13,moonshotai/kimi-k2,moonshotai,value_tier,paid,200K,1.0,3.0,senior,general,senior_developer,chinese,75.0,65.0,https://openrouter.ai/moonshotai/kimi-k2,2025-08-11
14,microsoft/phi-4,microsoft,value_tier,paid,131K,0.50,1.5,senior,debugging,senior_developer,compact,75.0,62.0,https://openrouter.ai/microsoft/phi-4,2025-08-11
14.5,x-ai/grok-code-fast-1,x-ai,value_tier,paid,256K,0.20,1.5,senior,coding,senior_developer,fast_coding,82.0,70.0,https://openrouter.ai/x-ai/grok-code-fast-1,2025-11-21
14.6,google/gemini-3-pro-image-preview,google,value_tier,paid,65K,2.0,12.0,senior,vision,senior_developer,image_generation,70.0,50.0,https://openrouter.ai/google/gemini-3-pro-image-preview,2025-11-21
10,meta-llama/llama-3.1-405b-instruct:free,meta,free_champion,free,131K,0.0,0.0,junior,general,technical_validator,general,80.5,68.0,https://openrouter.ai/meta-llama/llama-3.1-405b-instruct:free,2025-08-11
11,deepseek/deepseek-r1-distill-llama-70b:free,deepseek,free_champion,free,131K,0.0,0.0,junior,reasoning,code_reviewer,reasoning,75.0,65.0,https://openrouter.ai/deepseek/deepseek-r1-distill-llama-70b:free,2025-08-11
15,moonshotai/kimi-k2:free,moonshotai,free_champion,free,200K,0.0,0.0,junior,general,technical_validator,chinese,75.0,65.0,https://openrouter.ai/moonshotai/kimi-k2:free,2025-08-11
16,qwen/qwen-2.5-coder-32b-instruct:free,qwen,free_champion,free,131K,0.0,0.0,junior,coding,code_reviewer,coding,80.0,65.0,https://openrouter.ai/qwen/qwen-2.5-coder-32b-instruct:free,2025-08-11
17,microsoft/phi-4-reasoning:free,microsoft,free_champion,free,131K,0.0,0.0,junior,debugging,code_reviewer,reasoning,75.0,62.0,https://openrouter.ai/microsoft/phi-4-reasoning:free,2025-08-11
18,microsoft/mai-ds-r1:free,microsoft,free_champion,free,131K,0.0,0.0,junior,reasoning,code_reviewer,microsoft,72.0,60.0,https://openrouter.ai/microsoft/mai-ds-r1:free,2025-08-11
13,meta-llama/llama-3.3-70b-instruct:free,meta,free_tier,free,131K,0.0,0.0,junior,general,technical_validator,efficient,72.0,60.0,https://openrouter.ai/meta-llama/llama-3.3-70b-instruct:free,2025-08-11
19,qwen/qwq-32b:free,qwen,free_tier,free,131K,0.0,0.0,junior,reasoning,code_reviewer,reasoning,70.0,60.0,https://openrouter.ai/qwen/qwq-32b:free,2025-08-11
20,qwen/qwen3-14b:free,qwen,free_tier,free,131K,0.0,0.0,junior,general,technical_validator,compact,68.0,58.0,https://openrouter.ai/qwen/qwen3-14b:free,2025-08-11
21,qwen/qwen3-32b:free,qwen,free_tier,free,131K,0.0,0.0,junior,general,technical_validator,balanced,70.0,60.0,https://openrouter.ai/qwen/qwen3-32b:free,2025-08-11
22,qwen/qwen3-235b-a22b:free,qwen,free_tier,free,131K,0.0,0.0,junior,general,technical_validator,large,72.0,62.0,https://openrouter.ai/qwen/qwen3-235b-a22b:free,2025-08-11
16,qwen/qwen2.5-vl-72b-instruct:free,qwen,free_tier,free,131K,0.0,0.0,junior,vision,technical_validator,vision,70.0,58.0,https://openrouter.ai/qwen/qwen2.5-vl-72b-instruct:free,2025-08-11
17,meta-llama/llama-3.2-11b-vision-instruct:free,meta,free_tier,free,131K,0.0,0.0,junior,vision,technical_validator,vision,68.0,55.0,https://openrouter.ai/meta-llama/llama-3.2-11b-vision-instruct:free,2025-08-11
18,meta-llama/llama-3.2-3b-instruct:free,meta,free_tier,free,131K,0.0,0.0,junior,general,technical_validator,lightweight,65.0,52.0,https://openrouter.ai/meta-llama/llama-3.2-3b-instruct:free,2025-08-11
23,meta-llama/llama-4-maverick:free,meta,free_tier,free,131K,0.0,0.0,junior,general,technical_validator,experimental,70.0,58.0,https://openrouter.ai/meta-llama/llama-4-maverick:free,2025-08-11
24,deepseek/deepseek-chat:free,deepseek,free_tier,free,65K,0.0,0.0,junior,general,technical_validator,chat,68.0,55.0,https://openrouter.ai/deepseek/deepseek-chat:free,2025-08-11
25,deepseek/deepseek-r1-0528-qwen3-8b:free,deepseek,free_tier,free,65K,0.0,0.0,junior,reasoning,code_reviewer,hybrid,66.0,53.0,https://openrouter.ai/deepseek/deepseek-r1-0528-qwen3-8b:free,2025-08-11
26,mistralai/mistral-nemo:free,mistral,free_tier,free,128K,0.0,0.0,junior,general,technical_validator,european,64.0,52.0,https://openrouter.ai/mistralai/mistral-nemo:free,2025-08-11
27,openrouter/cypher-alpha:free,openrouter,free_tier,free,131K,0.0,0.0,junior,experimental,technical_validator,experimental,60.0,48.0,https://openrouter.ai/openrouter/cypher-alpha:free,2025-08-11
28,tngtech/deepseek-r1t-chimera:free,tngtech,free_tier,free,131K,0.0,0.0,junior,experimental,technical_validator,hybrid,58.0,46.0,https://openrouter.ai/tngtech/deepseek-r1t-chimera:free,2025-08-11
9,google/gemini-2.5-flash-lite,google,value_tier,paid,1048K,0.10,0.40,senior,general,senior_developer,speed,76.0,62.0,https://openrouter.ai/google/gemini-2.5-flash-lite,2025-01-15
