rank,model,tier,status,context,input_cost,output_cost,org_level,specialization,role,strength,price_tier
9,google/gemini-2.0-flash-exp,free_champion,free,1048K,0.0,0.0,junior,general,technical_validator,experimental,free
10,meta-llama/llama-3.1-405b-instruct:free,free_champion,free,131K,0.0,0.0,junior,general,technical_validator,general,free
11,deepseek/deepseek-r1-distill-llama-70b:free,free_champion,free,131K,0.0,0.0,junior,reasoning,code_reviewer,reasoning,free
12,qwen/qwen-2.5-coder-32b-instruct:free,free_champion,free,131K,0.0,0.0,junior,coding,code_reviewer,coding,free
13,meta-llama/llama-3.3-70b-instruct:free,free_tier,free,131K,0.0,0.0,junior,general,technical_validator,efficient,free
14,microsoft/phi-4:free,free_tier,free,16K,0.0,0.0,junior,debugging,code_reviewer,debugging,free
15,qwen/qwq-32b-preview:free,free_tier,free,32K,0.0,0.0,junior,reasoning,code_reviewer,reasoning,free
16,qwen/qwen2.5-vl-72b-instruct:free,free_tier,free,131K,0.0,0.0,junior,vision,technical_validator,vision,free
17,meta-llama/llama-3.2-11b-vision-instruct:free,free_tier,free,131K,0.0,0.0,junior,vision,technical_validator,vision,free
18,meta-llama/llama-3.2-3b-instruct:free,free_tier,free,131K,0.0,0.0,junior,general,technical_validator,lightweight,free
19,google/gemma-2-9b-it:free,free_tier,free,8K,0.0,0.0,junior,general,technical_validator,compact,free
20,huggingface/zephyr-7b-beta:free,supporting,free,32K,0.0,0.0,junior,conversation,technical_validator,community,free
